"file","passengers","originalRoute","finalRoute","pass1","repaired","finalPass","status","offers","supplierMessage"
"AncillaryBookMulti.json","ADTx2,CHDx2,INFx2","DUS-CAI@+25d | CAI-SSH@+28d","DUS-CAI@+25d | CAI-SSH@+28d","True","False","True","200","200",""
"AncillaryBookMulti1.json","ADTx3,CHDx3,INFx3","SSH-CAI@+40d | CAI-FRA@+49d","SSH-CAI@+40d | CAI-FRA@+49d","True","False","True","200","200",""
"AncillaryBookMulti2.json","ADTx4,CHDx2,INFx2","CGN-CAI@+27d | CAI-JED@+30d","CGN-CAI@+27d | CAI-JED@+30d","True","False","True","200","200",""
"AncillaryBookMulti3.json","ADTx4,CHDx1,INFx4","STR-CAI@+28d | CAI-KWI@+31d","STR-CAI@+28d | CAI-KWI@+31d","True","False","True","200","56",""
"AncillaryBookMulti4.json","ADTx2,CHDx2,INFx2","FRA-CAI@+42d | CAI-HAJ@+45d","FRA-CAI@+42d | CAI-HAJ@+45d","True","False","True","200","200",""
"AncillaryBookMulti5.json","ADTx3,CHDx3,INFx3","KWI-CAI@+43d | CAI-CGN@+46d","KWI-CAI@+43d | CAI-CGN@+46d","True","False","True","200","200",""
"AncillaryBookMulti6.json","ADTx4,CHDx2,INFx2","JED-CAI@+44d | CAI-STR@+47d","JED-CAI@+44d | CAI-STR@+47d","True","False","True","200","200",""
"AncillaryBookMulti7.json","ADTx4,CHDx1,INFx4","SSH-CAI@+46d | CAI-FRA@+49d","SSH-CAI@+46d | CAI-FRA@+49d","True","False","True","200","200",""
"AncillaryBookOne.json","ADTx2,CHDx2,INFx2","CAI-DUS@+20d","CAI-DUS@+20d","True","False","True","200","21",""
"AncillaryBookOne1.json","ADTx3,CHDx3,INFx3","CAI-HAJ@+21d","CAI-HAJ@+21d","True","False","True","200","28",""
"AncillaryBookOne2.json","ADTx4,CHDx2,INFx2","CAI-LXR@+22d","CAI-LXR@+22d","True","False","True","200","10",""
"AncillaryBookOne3.json","ADTx5,CHDx2,INFx2","CAI-CGN@+23d","CAI-CGN@+23d","True","False","True","200","30",""
"AncillaryBookOne4.json","ADTx4,CHDx1,INFx4","CAI-YNB@+24d","CAI-YNB@+24d","True","False","True","200","4",""
"AncillaryBookOne5.json","ADTx4,CHDx3,INFx2","CAI-STR@+25d","CAI-STR@+25d","True","False","True","200","18",""
"AncillaryBookRound.json","ADTx2,CHDx2,INFx2","CAI-DUS@+44d | DUS-CAI@+51d","CAI-DUS@+44d | DUS-CAI@+51d","True","False","True","200","200",""
"AncillaryBookRound1.json","ADTx5,CHDx2,INFx2","CAI-CGN@+47d | CGN-CAI@+54d","CAI-CGN@+47d | CGN-CAI@+54d","True","False","True","200","200",""
"AncillaryBookRound2.json","ADTx3,CHDx3,INFx3","CAI-LXR@+46d | LXR-CAI@+53d","CAI-LXR@+46d | LXR-CAI@+53d","True","False","True","200","150",""
"AncillaryBookRound3.json","ADTx5,CHDx2,INFx2","CAI-LXR@+46d | LXR-CAI@+53d","CAI-LXR@+46d | LXR-CAI@+53d","True","False","True","200","150",""
"AncillaryBookRound5.json","ADTx3,CHDx3,INFx3","YNB-CAI@+24d | CAI-YNB@+31d","YNB-CAI@+24d | CAI-YNB@+31d","True","False","True","200","16",""
"AncillaryBookRound6.json","ADTx5,CHDx2,INFx2","STR-CAI@+25d | CAI-STR@+32d","STR-CAI@+25d | CAI-STR@+32d","True","False","True","200","200",""
